id,abv,available,description,glass,ibu,isOrganic,name,originalGravity,srm
1956,7.7,Limited availability.,"Originally dreamt up by homebrewers Robert Masterson and Ryan Reschan, who earned themselves the top prize in our 2013 American Homebrewers Association homebrewing contest, this innovative beer marks a refreshing sea change for IPA lovers everywhere. It was brewed with 280 pounds of coconut and an unusual blend of hop varieties, including a few from faraway lands or just brand spankin' new, and is guaranteed to taste like no IPA that's gone before. Prepare yourself for a tropical breeze of a brew that will lull you to a place of tranquil contentment for a little R & R.",Tulip,90.0,N,Stone R & R Coconut IPA,1.06,10
1957,5.6,Available year round as a staple beer.,"Medium bodied, yet light and crisp. German hops, clean American yeast and corn to add some sweetness.  Great for the Texas heat.",,18.0,N,Local Yella,1.049,4
1958,4.2,Available year round as a staple beer.,"Golden is a crisp, clean continental lager. Just four ingredients are all it takes: American malt, Mt. Hood hops, German lager yeast and pure Abita Spring's water. As the name implies, Abita Golden has a brilliant gold color. Its flavor makes this light lager the perfect match for Louisiana Creole food.

Both Abita Light and Abita Golden go well with just about anything. Try it with mild rice or pasta dishes, grilled vegetables, grilled chicken and fish, and even with something spicy like Louisiana boiled crawfish, shrimp and crabs. Goat cheeses like feta and chevre pair well with Abita Golden.",Pilsner,11.0,N,Golden,1.04,3
1959,10.0,"Available at the same time of year, every year.",Whisky cask aged imperial stout,,70.0,N,Paradox,1.08,Over 40
1960,7.8,"Available at the same time of year, every year.",,Mug,25.0,N,Dos Goatees,1.079,26
1961,9.1,Available during the spring months.,"An unfiltered imperial India pale ale with huge hop flavor.

A beer this distinctively hoppy inspires many a tall tale. And they don't come taller than South Bay Bessie, the legendary monster that roams the shallow depths of Lake Erie.",Tulip,72.0,N,Lake Erie Monster,1.075,8
1962,4.06,Available year round as a staple beer.,"Definitely sunshine in a glass. Beehive is a joy to drink, with its beautiful honey-gold color and refreshing, full-flavored body. For our version of the classic American Wheat, we use less two-row and more Munich malt for depth, and soften the edges with the lightness of wheat. Local Black Forest honey adds character without sweetness.",Pint,16.0,N,Beehive Honey Wheat,1.036,10
1963,4.6,Available year round as a staple beer.,"I recently changed this recipe to drop the smoked malt component to 8% from 12%, and I like it even better than the last version.  I think I'm back in real Schwarzbier territory now, especially after reading more about the dark beers of old Eastern Europe.  The beer's aroma is malty/espresso, with a hint of smoke.  On the palate, malt, chocolate and espresso flavors take center stage, along with a hint of smoke.  The sweet smokiness just offsets the more bitter/roasty notes, producing a smooth, rich brew.  The hops provide balance, but virtually nothing to the aroma.  This is the perfect beer to serve with a barbecued steak or tri-tip.  It's also excellent with just about any chocolate dessert!",Pint,30.0,N,Schwarz,1.044,28
1964,4.1,Available year round as a staple beer.,"Old Adobe Stout is made with British pale malt and black barley, with white wheat malt added to ensure a smooth, creamy head. Opaque black in color, this classic Dry Stout is meaty and very drinkable.",,41.1,N,Old Adobe Stout,1.038,40
1965,7.2,Available year round as a staple beer.,The Block IPA is a true Hop Monster with 6 different hop varieties slammed in every inch of this beer. The malt bill is simple and straight forward so not to get in the way of the true hop flavor. The initial aroma is citrus and passion fruit followed by a burst of green hop and pine flavors.. The bitterness comes through in the middle allowing for a pure hop goodness in the finish.,Pint,105.0,N,Block IPA,1.06,6
1966,4.7,Available year round as a staple beer.,"Traditional, English-style full-bodied brown ale with a sweet, toasted malt aroma and a hint of baker’s chocolate.",Pint,10.0,N,Old Town Brown,1.04,Over 40
1967,4.0,Beer is not available.,"Solstice Ale is our brewers' interpretation of the prefect session ale. Seven different malts provide a rich malty flavor and aroma, golden color and medium body.  Cascade, Willamette & Amarillo hops impart mild hop flavor and bitterness.  A generous dry hopping with Amarillo hops provide a fragrant hop aroma.",Pint,18.0,N,Solstice Ale,1.033,6
1968,4.9,Available year round as a staple beer.,"In this hop-heavy town, it surprised us how our least hopular beer became our most popular when it was on draft.  Malty and rich in flavor with a dry bite, this is a truly (ob)sessionable ale.  Single malt and single hop so what's the BFD?  Exactly that: it's a beer for drinking.",Pint,16.5,N,Blonde,1.054,5
1969,5.0,Available year round as a staple beer.,"A classic Bohemian Pilsener. Brewed with Breiss pilsen, munich and caramel malts. Five different hops, Cluster, Willamette, Tettnanger, Spalt Select and Styrian Goldings give this ale a distinct hop flavor and aroma. Medium hop bitterness, flavor and aroma.",,30.0,N,Prickly Pike's Pilsner,1.044,4
1970,8.3,Limited availability.,This double India pale ale is loaded with American hop character and is sure to awaken your senses.,Pint,85.0,N,Bodhi,1.075,12
1971,5.6,Available year round as a staple beer.,"Dark lager beer existed decades before the dawn of the light Pilsner lager beer.  Mainly due to the malting & drying practices of the day, the lack of technology denied the Brewers of malt that was both light in color and dry enough to store properly.  LOBO Negro is a true “Dunkel” or dark brown lager with a spicy maltiness that is neither sweet nor too roastily dry.  Our Lager yeast, working at low temperatures, imparts a clean roundness and balance to this world class beauty.",Pint,26.0,N,Lobo Negro,1.04,20
1972,5.2,Available during the summer months.,"Summer Ale is tangerine flower in a glass, endless days distilled into nectar of barley and hops. One grain, one hop. Simplicity….yet, so much more.",Pint,45.0,N,Fremont Summer Ale,1.044,13
1973,5.2,"Available at the same time of year, every year.","We figured if Boston can have one, so should we.  This beer is influenced by both the Boston Lager and the Noble Pils. It is light amber to golden in color, with a fresh-almost spicy hop aroma, a crisp balanced flavor and a clean finish.",Pint,27.0,N,GBG Lager,1.04,3
1974,10.0,Limited availability.,This year’s Dogfather Imperial Stout will all be aged in charred bourbon barrels. Seven malt varieties and subtle hop additions give it a complex flavor profile.,,60.0,N,The Dogfather,1.08,Over 40
1975,5.7,Available during the winter months.,"Big, bold, roasted and unabashedly dark! This is a true stout showcasing the traditional flavors of espresso, oatmeal and burnt sugar while always keeping itself balanced on the edge. Instant gratification in a glass!",,45.0,N,Feelin' Your Oats,1.038,20
1976,7.8,Limited availability.,"Baltic Porters were originally brewed for the long trip from England to the Baltic region. Ragana (Lithuanian for witch) is deep, dark and full of complex flavors. Full bodied with chocolate, coffee and a slight smokiness, English hops round out this wicked ale, adding a clean finish thanks to a colder fermentation.",,30.0,N,Ragana,1.072,40
1977,8.0,Available year round as a staple beer.,"A freestyle Saison using a smashing combination of locally sourced honey, Belgian yeast, rye malt & dry-hopping. Unleashed is a high-flying smack of citrus & spice.",,23.0,N,El Super Bee,1.061,5
1978,4.8,Available during the summer months.,Watermelons WERE harmed during the making of this beer.  We took a base light beer and infused it with the juiced cores of approximately seventy watermelons.  Perfect refreshment for an adventurous hot summer day.,Pint,20.0,N,TED’s Watermelon Ale,1.048,7
1979,5.4,Available year round as a staple beer.,"Our golden-yellow wheat beer, with its fine-pored white foam, smells of cloves and impresses consumers with its refreshing banana flavour. It is full bodied and with a smooth yeast taste. To be enjoyed at any time (always a pleasure / enjoyment), goes excellently with fish and seafood, with spicy cheese and especially with the traditional Bavarian veal sausage. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill.",Weizen,14.0,N,Hefe Weissbier,1.047,8
1980,9.0,Limited availability.,"After 11 years of brewing beer with balance, our Brew Crew took a left turn with Hop Rocket Imperial IPA, a massive Imperial that focuses on the hops! At 111 IBUs, this huge ale rockets off the charts with a massive nose of sticky, resinous hops and flavors of grapefruit, lemon peel, spruce, earthy mushrooms and dew-covered grass. While the focus truly is on the hops, a pleasant, sweet malt base backs the beer and balances it to a delicious level of drinkability with notes of toffee and freshly baked biscuits.

This extraordinary Imperial IPA will age gracefully. Bitterness will become subdued and flavors will round out with age. A delicious brew for sipping, Hop Rocket will also pair nicely with many foods.
Recommended Foods: India or Thai Cuisine, Chicken Marsala with Rosemary, Habanero Salsa, Gumbo, Carrot Cake, Pepper Jack Cheese",Pint,111.0,N,Hop Rocket,1.075,5
1981,8.5,Limited availability.,"This smooth, strong imperial porter will sweep you off your feet with notes of dark chocolate, black malt, and a finish of sweet vanilla.",,35.0,N,Imperial Vanilla Porter,1.08,40
1982,5.8,Available during the spring months.,"Ah, Spring…the season that keeps us guessing.  Will it rain, or will the sun be out?  Do I take advantage of the last days of skiing, or the first days of hiking?  Do I put on jeans, or dare break out the shorts?  The season comes with enough uncertainty, so Redhook gives you something you can always count on…our Nut Brown Ale.  This medium dark beer is layered with rich malty aromas and flavors of chocolate, caramel, brown sugar, and a hint of vanilla.  Although it may be dark in color, it’s refreshingly smooth and highly sessionable.  Nut Brown is the perfect beer for spring.",Pint,30.0,N,Nut Brown,1.03,8
1983,10.2,Limited availability.,"Now that we are 21, our palate has matured like a fine wine. So we created something unique with old vine Zinfandel grape juice added during fermentation to give this brew a subtle vinous quality. Belgian yeast imparts hints of dried fruit in the nose, while a big dose of Vienna and Caramel malts yields a dry warming finish. Aged a month on American oak to take the edge off, this is one to share with friends.",,28.0,N,21st Anniversary,1.03,24
1984,7.1,"Available at the same time of year, every year.","Reverend Potter’s Baltic Porter is a full flavored dark lager which owes its heritage to the influence of the dark ales of England and cool fermented in the tradition of Eastern Europe. Generously hopped for balance, this beer hides its strength well, so watch out when imbibing near that warm New England fireplace on a cold eve.",Willi,40.0,N,Reverend Potter's Baltic Porter,1.074,40
1985,6.0,Limited availability.,"Smoked Scotch ales are warming and hearty. The beer is malty, smooth with mellow smoke in the aroma and a nice sweet finish. Let the beer warm a bit to get the full experience of the complexity of the malt and smoke.",,20.0,N,Smokin' Santiago,1.072,27
1986,7.0,Limited availability.,,Weizen,24.0,N,TAP X Meine Porter Weisse,1.068,27
1987,7.3,Available year round as a staple beer.,,Pint,85.0,N,Stoney MacGuyver,1.075,6
1988,10.8,"Available at the same time of year, every year.",,,58.0,N,Derailleur,1.09,17
1989,9.5,"Available at the same time of year, every year.","This year’s Siren Noire Imperial Chocolate Stout has been revamped. We’ve aged it for three weeks in bourbon barrels, which gives the beer darker notes of raisin and fig. We’ve also tripled the amount of chocolate nibs and added vanilla bean. A mix of dark malts gives Siren Noire a well-rounded body that is decidedly chocolatey—but without being extraordinarily sweet. Mt. Hood hops contribute a fruity hop profile, with notes of black currant.",Snifter,18.5,N,Siren Noire,1.03,30
1990,5.8,"Available at the same time of year, every year.","A spicy American ale for the holidays. Brewed with ginger, cinnamon and molasses.",Pint,30.0,N,Gingerbread Man,1.03,5
1991,5.6,Available year round as a staple beer.,A light bodied ale with a little bit of hop punch.  ABV of 5.6% and an IBU of 36.  This very refreshing beer has some great mouth feel and a nice hop finish to make this an all around great ale.,Pint,36.0,N,Hoppy Blonde,1.045,6
1992,3.4,Available year round as a staple beer.,"Mid-strength but high flavour fruity Queensland ale. Subtlely dextrinous, the malt profile rounds out the palate but remains controlled to allow the fruity hop flavours to shine through. Need to get up early tomorrow? Buy yourself a little Time.",,23.0,N,3 Quarter Time Session Ale,1.03,4
1993,5.9,Limited availability.,"The India pale ale style hails from Britain and the 1800s when soldiers and sailors savored its extra hoppy charms. A classic English IPA, cask conditioned and dry hopped.",Pint,52.0,N,London Calling IPA,1.05,13
1994,8.8,Available year round as a staple beer.,,,85.0,N,De Natte Gijt Stoute Gijt,1.08,21
1995,8.9,Available year round as a staple beer.,,,77.0,N,Imperial IPA,1.083,10
1996,5.3,Available year round as a staple beer.,"Following the rich heritage of a German Kolsch, our beer stays true to style while producing unique flavor intricacies to tickle your taste buds. Medium bodied and a dry mouth feel, Auburn Kolsch gives citrusy and earthy hop aromas. The ruby hue, not typically found in a Kolsch, gives a subtle caramel backbone and roasted malt qualities that elevate this beer. Like a close friend, Auburn Kolsch is interesting, reliable, and always worth a few pints together.",Pint,14.0,N,Auburn Kolsch,1.042,4
1997,5.5,Limited availability.,"Impossibly reddish in color (due to the beets) with nitro cascade fading into a pink cap of stable foam, great clarity.  Seeing the beer in the glass shows the obvious resemblance to a slice of red velvet cake (red cake on the bottom topped with a layer of creamy white frosting).  But the similarities don’t end there.  The aroma is dominated by chocolate with earthy notes of beets and subtle wafts of roast coco.  The flavor is similar to the aroma but with faint roast and hop bitterness coming in at the end balance it out, not cloying or overly sweet.  The mouthfeel is medium and the finish is luxuriously smooth.  It’s dessert served in a pint glass!
Note: Serve in a straight sided pint glass for full appreciation of the nitro cascade when poured.",Pint,33.0,N,Ballast Point Red Velvet Cake,1.03,11
1998,6.5,Available during the fall months.,"Flagship Roggenfest ~ 6.5% ABV ~ 23 IBU
Flagship’s fall seasonal combines two classic German beer styles: roggenbier, a German ale brewed with rye, and märzenbier, also known as Oktoberfest for the Munich beer festival, a fullflavored beer that marks the season. We give you Flagship “Roggenfest.” This malty brew uses Vienna and Munich varieties of malted barley that are complemented with German malted rye and German chocolate rye. Bavarian noble hops balance the beer with a mild bitterness and soft floral aroma. The result is a full-bodied dark copper colored ale with a smooth texture and spicy-like characteristic from the rye malt. Grab some bratwurst or a pretzel and enjoy a Roggenfest before all the leaves have fallen.",,23.0,N,Roggenfest,1.047,10
1999,5.9,Available year round as a staple beer.,"Mmmmm....Revelations indeed.  Black as midnight.  Heavy on the soul. 
 
Think you don't like Stout?  Try this one.
 
Think you don't like any kind of beer?  Try this one.
 
We can't tell you how many times we've heard both declarations from the mouths of our customers and low and behold....they try this beer and are saved from a life of bad beer or no beer at all. 
 
Can I get a witness?
 
Lift a glass of this dry stout up to your nose and breathe in the decadent aroma of dark chocolate emanating from the creamy off-white to tan-colored head.  Take a sip and feel the familiar warmth of roasted coffee that goes down smooth.  A lighter body than your average stout makes this one a house favorite--our best-selling beer, in fact. 
 
So throw off your shackles! 
Come to the House of the Pour
And you just might find salvation
In a glass of Revelations!",,50.0,N,Revelations Stout,1.038,40
2000,7.5,Available during the fall months.,"The TuberFest is a smooth and malty lager that is counterbalanced with some delicious Pacific NorthWestern Idaho #7 hops, giving it a cedary, herbal zing… Brewed to jumpstart your salubrious slide into late-Summer. Ach!",,45.0,N,TuberFest,1.075,12
2001,6.0,Available during the summer months.,"Seasonal How could we ask for more? Brewed with grains of paradise and orange peel. Great on lawn mowing days, or after playing chicken with tractors.",,21.0,Y,Summer Ale,1.045,5
2002,7.2,Limited availability.,"A fortified European-style Pilsner, lagered to perfection, brewed with Heavy Metal Warriors, Lair of The Minotaur, in commemoration of their fourth full length release “Evil Power.”",Pilsner,56.0,N,Evil Power,1.044,3
2003,5.0,Available year round as a staple beer.,"When we set forth to brew a Pilsner, we wanted to pay homage to a region that is legendary in its brewing tradition. This beer is brewed the German way, and you can taste the difference. We even sourced the hops and malts from Germany!

It’s light, easy to drink, and it goes just as good in a boot as it does in a stein. We use German Pils malt, 2-Row malt and wheat to create a firm malty character with a crisp finish. This traditional Pilsner malt bill is complimented by German Lager yeast and German noble hops. Pilsner’s 40 IBUs help it finish dry, the way a German Pilsner should.",,40.0,N,Pilsner,1.044,3
2004,6.6,Available year round as a staple beer.,"This beer is social lubricant, a beer that lives up to its name. This is a black stout beer with a firm brown head. We add a little bit of lactose for ballast. Columbus is home to Cummins Inc., makers of diesel engines. This beer is dedicated to the hard working men and women of Cummins!",Pint,33.0,N,Diesel Oil Stout,1.05,Over 40
2005,4.6,"Available at the same time of year, every year.","An amber, bottom-fermented beer with a smooth malt flavor and a clean bitterness. This malty beer was traditionally brewed for festivals celebrating special occasions such as the start of the brewing season. Filtered.",Mug,35.0,N,Octoberfest,1.048,4
2006,5.1,Beer is not available.,,,13.0,N,Climax Pilsner,1.044,3
2007,7.7,Limited availability.,"Imperial Pils is a crisp, more intense version of a classic Pilsner. Light golden in color and carrying a heady herbaceous nose, it offers a dry bitterness on the palate and fresh, floral finish from the use of traditional Eastern European hops.",Pilsner,55.0,N,Imperial Pils,1.044,4
2008,5.5,Available year round as a staple beer.,"We start with a mix of pilsner and pale ale malts for a complex, dry maltiness, then layer on specialty malts that add toasty, cookie and a little dark toffee character. All of this is balanced by a hop mix that adds to Sir Dunkle’s crisp complexity.",Pint,20.0,N,Berghoff Sir Dunkle Crispy Dark Lager,1.048,19
2009,4.5,Available year round as a staple beer.,"Deception’s unique flavor profile sets it apart from your typical BLONDE ale. It’s a rich, creamy, golden colored ale that is incredibly refreshing and smooth. With hints of coconut and lime, this beer is another example of Black Market taking a traditional style and putting their own unique touch on it.",Pint,16.0,N,Deception,1.043,3
2010,9.2,Beer is not available.,"We first brewed this rich and decadent ale as a birthday present to our friends on Westheimer who live and breathe the entrepreneurial spirit that is the backbone of our great city.

Obviously, Houston is the best city in the world. Inferior parts of Texas disagreed and called us “Mud Turtles."" Ok, so maybe we didn’t have “paved roads” or “clean water” until the late 1800s. But we had plenty of ale and drank a lot of it because it was sanitary. (Have you seen the bayou water? And no, we don’t brew with it.)",,30.0,N,Mud Turtle,1.035,10
2011,5.5,Available year round as a staple beer.,"A full bodied, dark stout with creamy texture balanced by a slightly roasty taste.  Pale, Chocolate, Crystal malts and oatmeal contribute a delicious caramel flavor.  Traditionally mild UK Kent Golding Hops help to balance to the malty body of this brew.",Pint,30.0,N,Belly River Oat Meal Stout,1.05,28
2012,7.5,Available during the winter months.,"Rich in body, strong in character, delicately sweet dark amber ale distinguished by fresh ginger and cinnamon sticks.",,28.0,N,Winter,1.03,49
2013,5.0,Available year round as a staple beer.,,,40.5,N,GG Patton,1.044,4
2014,6.5,Available year round as a staple beer.,A wicked Porter. A perfectly robust ale with chocolate/coffee notes and firm hop bitterness.,,36.0,N,Probie Porter,1.045,30
2015,8.3,Limited availability.,"Using a hefty amount of Maris Otter malted grain and generous amounts of Chocolate and de-bittered Black Malt, combined with flaked Oats and Barley, we created a unique roasted malt backbone for this Stout. We added Perle, Northern Brewer and Fuggle hops at various intervals and kicked it up a notch by adding a good amount of Tart Cherries to balance out the sweetness of the malts and the bitterness of the hops.",,48.0,N,Chief's Cherry Stout,1.099,Over 40
2016,6.2,Available year round as a staple beer.,"Coffee Porter
Swimming harmoniously under a pillow of tawny brown cream lies the dark and intriguing spirit of this smooth and complex ale. 
Sharp aromas of mildly dark chocolate, toffee and rich caramel lead you immediately to a sip that wraps your tongue with dark roasted grains and rich stone fruit like sweetness.",,35.0,N,Misterioso,1.045,32
2017,5.3,Available year round as a staple beer.,"An authentic Bavarian lager using noble hops and German grains.  An extended boil creates a crisp and clean beer and the noble hops of hallertauer, liberty and sterling give this the authentic flavor this classic style deserves.  This beer is lagered, or cold stored, for 4 weeks allowing the beer to fully mature, and is pleasing to everyone’s palate.  Take a deep drink, close your eyes, and imagine yourself in Munich on a beautiful summer day.  Prost!",,21.2,N,Blue Ridge Lager,1.04,3
2018,7.9,"Available at the same time of year, every year.",,,56.0,N,Pumpkin Stout,1.076,Over 40
2019,9.9,Beer is not available.,"Infused with the copper glow of more than 1,000 setting suns. This exceptional offering had infinite body ... a big, sweet malty tumult followed by a long, balanced, hop symphony.",Pint,50.0,N,Chaotic Chemistry,1.09,10
2020,9.5,Limited availability.,Our Scottish-style ale aged in bourbon barrels with cherries. Brewed with Stephanie Izard of Girl and the Goat.,,30.0,N,Cabrito,1.035,13
2021,7.8,"Available at the same time of year, every year.","A blend of six grains with Amarillo,
Centennial and Willamette hops creates an
upfront bitterness that rides through to the end with a light citrus nose.",Pint,100.0,N,Offwidth,1.05,11
2022,5.1,Available year round as a staple beer.,"Our American Pale Ale with a ton of Citra, Columbus and Cascade hops.  Deep amber in color with an extremely well rounded hop and malt character.  This beer gives hop heads what they are looking for without wrecking your palate; yet it is sufficiently balanced which is pleasing to many hop-timid beer drinkers. The finish is slightly dry and refreshing to the last drop.  This beer will not disappoint!",Pint,45.0,N,Alpha Ale,1.044,6
2023,6.8,Limited availability.,"Hops in the front, middle, and back.  It’s dry.  It’s bitter. It’s dank! This American “West Coast” IPA exhibits a balance of citrusy, yet dry hop character.",,67.0,N,The Blanket (Original) IPA,1.06,9
2024,5.8,"Available at the same time of year, every year.","The short days and long nights bring this prowling cat out on the town, looking to scratch up some fun with a great beer. This Night Cat is dark in color, bold in hop but not heavy in body. It is full of tropical fruit notes form the Citra hops that combine with a nice dark wheat malt flavor.",Pint,43.2,N,Night Cat,1.036,10
2025,6.0,Limited availability.,,Pilsner,17.0,N,Chips & Salsa Cerveza,1.03,3
2026,5.2,Limited availability.,"Wheat, sweet and tropically inspired, our Wheat Passion hits the palate with an unfiltered and refreshing mouthfeel and the nose with sweet, tropical aromas of Passion Fruit.",Pint,18.0,N,Wheat Passion,1.036,3
2027,4.9,Available year round as a staple beer.,"Pouring as vibrant gold as a perfectly sunny day in San Diego, this light-bodied, delicately hopped session beer is brewed using pilsner malt, Cluster, German Hallertau and Czech Saaz hops. The result is a crisp, clean and abundantly refreshing brew that’s ideal for everyday enjoyment.",Pilsner,26.0,N,Coronado Golden,1.044,3
2028,5.9,Available year round as a staple beer.,"A medium-light body and a freshly ground caramel malt flavor with no bitterness. The combination of American caramel malt and the finest Kent Goldings hops from England add an inviting, noble flavor and aroma.",Pint,16.0,N,Irish Setter Red Ale,1.04,18
2029,6.0,Limited availability.,"Frosted Fields was created to celebrate those cold Winter days when the frost lays heavy across the fields. In addition to the usual 2-row malted barley Frosted Fields uses a blend of white and red wheat malt. If we could put this one in a category, it would best fit the double-wit style, but has the addition of high alpha Summit hops to enhance the bitteness and flavor. The citrus flavors of the corriander and the sweet and bitter orange touch on the times when we sit warm inside munching on nuts and some fresh citrus fruits to take the edge off the cold outside. We will be tapping the first keg on New Year's Eve at the brewery and it will then be available in Pint Cans, Growlers and Kegs.",Weizen,25.0,N,Frosted Fields Winter Wheat,1.036,16
2030,5.5,Available year round as a staple beer.,"We use multiple specialty malts to make our light bodied, rich flavored porter.  Sitting at 5.5 ABV, this beer is accessible to many drinkers and characterized by coffee and roast notes.",,31.0,N,Hinterlander Porter,1.045,30
2031,6.5,"Available at the same time of year, every year.","This red ale is brewed with Saigon Cinnamon, black pepper and aged on rose petals.  It is malty, floral, and spicy with a lingering warmth on the finish.",,22.0,Y,Cinnamon Girl,1.048,15
2032,5.8,Beer is not available.,"I had two bowls for breakfast, one was cereal. Created for our fourth anniversary, we aged Sam's Daily on Amaya Roasting Co's Temporara Espresso and vanilla beans. A smooth coffee flavored beer that is very sessionable. Coffee heavy on the nose with a residual vanilla sweetness and a smooth creamy body.",,28.0,N,Sam's Wake 'N Bake,1.059,34
2033,5.5,Limited availability.,"Our Coffee Amber brings two of our favorite flavors together. Smooth coffee notes from amber malts and a rich back bone from UK grains join up for a rich unique drinking experience.  Hints of plums in the background. Pairs well with red meats, pork and any breakfast item imaginable.",,40.0,N,Coffee Amber,1.056,17
2034,6.5,Available year round as a staple beer.,"An English India Pale Ale that will satisfy those looking for a bit more of a hoppy, full-bodied ale.  It is brewed with English Maris Otter, Crisp 60 Crystal, Columbus and East Kent Golding Hops then left up to the Burton Ale Yeast to create the magic it does so well.  After all this, dry hopped in the brite tank for 2 weeks with even more Columbus hops. The results are an extremely well balance English IPA with a solid hop finish.



Tuileries IPA
The main gate to Tuileries Amusement Park was built in 1906, located in the 3400 block of South Broadway, the park offered popular amusements to all who ventured in.  In spite of its popularity, the Tuileries closed in 191.  This full bodied IPA has a perfect balance of hop to malt that creates most pleasant experience for those who love IPA's.",Pint,79.0,N,Tuileries IPA,1.061,9
2035,8.0,"Available at the same time of year, every year.",,,37.0,N,Yule Shoot Your Eye Out,1.03,15
2036,5.3,Available year round as a staple beer.,"Our Blonde Ale starts with a great earthy pine aroma followed by a little citrus and tons of bitterness from the hops. Notes of lemon, lime, and mango. Finishes with nice New York field bitterness.",Pint,42.0,N,Cute Little Blonde,1.045,3
2037,9.5,"Available at the same time of year, every year.","This Imperial Honey Oatmeal Porter is made with 5 varieties of malted barley, including English chocolate and German honey malts, topped off with oats. It is hearty, robust, dark, chewy, and delicious.",,30.0,Y,Imperial Honey Oak Porter (IHOP),1.04,34
2038,5.0,"Available at the same time of year, every year.","The top’s down. The burgers are grilling. The shadows are long. The days stretch late into the evening. Summer has its own rules. And, at Deschutes, its own beer.

We brew Twilight Ale to be a lighter, but full-flavored ale with a balanced malt profile and a harmonious blend of four hops. Then a final heady dose of bold Amarillos creates a distinctive finish.

We took Twilight as a challenge. The chance to prove that light doesn’t mean boring. Some beers go perfectly with foods, this one pairs with lawn chairs, bare feet and life kicked-back. Best enjoyed chilled and served outside.",Pint,35.0,N,Twilight Summer Ale,1.044,6
2039,6.0,Available year round as a staple beer.,"Our flagship Amber Ale is deep amber in color, entering with an aroma of fresh hops, coupled with a smooth flavorful body, balancing a complex hop finish.",,34.0,N,Amber Ale,1.058,18
2040,5.3,"Available at the same time of year, every year.",BlackWatch is an honorably smooth Cream Porter brewed with an infantry of malts to battle subpar porters.,Pint,27.0,N,BlackWatch Cream Porter,1.058,Over 40
2041,6.8,Available during the fall months.,CDA Cascadian Dark Ale,Pint,67.0,N,Heart of Darkness,1.056,35
2042,10.4,Limited availability.,"A group of hop-heads and publicans challenegd our Beer Camp brewers to push the extremes of whole-cone hop brewing. The result is this: a 100 IBU, whole-cone hurrican of flavor. Simply put- Hoptimum: the biggest whole-cone IPA we have ever produced. Aggressively hopped, dry-hopped and torpedoed with our exclusive new hop varieties for ultra-intense flavors and aromas.

Hops, hops and more hops are the stars of this big, whole-cone Imperial IPA. Resinous ‘new-school’ and exclusive hop varieties carry the bold and aromatic nose. The flavor follows the aroma with layers of aggressive hoppiness, featuring notes of grapefruit rind, rose, lilac, cedar and tropical fruit – all culminating in a dry and lasting finish.",Pint,100.0,N,Hoptimum,1.075,9
2043,4.5,"Available at the same time of year, every year.",A fine wee ale in th’ scots tradition. Rich malty flaver be our brewer’s mission. Sweit aroma frae flowerin’ heather. Springtime in Scotland ne’er bin better!,,19.0,N,Springtime Ale,1.044,11
2044,5.0,Available year round as a staple beer.,,Pilsner,27.0,N,Pilsener,1.044,7
2045,9.0,"Available at the same time of year, every year.","With the amount of IPAs brewed here in the States you’d think that there’s only one way to skin a cat. While the West Coast style has long dominated the style, there’s a world of IPAs you should explore, and Blitzkrieg Hops DIPA wouldn’t be a bad start. Blitzkrieg is a big, 9% ABV, juicy, earthy hopped English-style double IPA brewed entirely with English malts, hops, and fermented with an English ale yeast strain. Brewed with Maris Otter pale malt, and hopped with Admiral, Pilgrim, Phoenix, and Target hops; all big, juicy, high alpha English hops that we thought needed a lil’ love, each of which is over 10% alpha acid.  Blitzkrieg Hops DIPA is our homage to the birthplace of the IPA as well as the band that inspired its name.",,98.0,N,Blitzkrieg Hops Double IPA,1.075,7
2046,5.4,"Available at the same time of year, every year.","When it comes to hops, late kettle additions are some of our favorites. We took a classic American Pale Ale and hopped it with Mosaic and Citra because of their blend of earthy, pine, tropical fruit and citrus qualities. We then aged this copper colored, medium-light bodied pale ale on cocoa nibs to impart chocolate and roasted notes with no impact on the color. This beer drinks like a certain bittersweet chocolate, almond and coconut candy bar that shall remain nameless!",,30.0,Y,Hop Chocolate,1.03,40
2047,5.0,Available year round as a staple beer.,"This moderately malty American version of the German staple is brewed with Pilsen and Pale Malts and Maize. A deep gold color, this beer is refreshing for those end of summer nights with its quality malts and a hop profile consisting of US Saaz.",Pilsner,32.0,N,Pilsner,1.053,3
2048,3.7,"Available at the same time of year, every year.","This English Mild is our session beer for those looking for flavor without all the alcohol. The malt flavors incorporate nutty, caramel, roast, & chocolate with just enough hops for a balanced beer. Treat yourself to another session beer.",,16.0,N,AbominAle Mild,1.03,9
2049,7.0,Available year round as a staple beer.,"Higher Ground is a classic West Coast IPA style, with a hearty dose of Cascade hops to create a delicious citrusy flavor and aroma.  We also include specialty crystal malts to give the beer it's unique caramel color and firm malt foundation.  It's noticeable bitterness is balanced by a subtle caramel background to make for an easy drinking IPA.
 
Tasting Notes: lemon, grapefruit, balanced malt and Cascade aroma",Pint,65.0,N,Higher Ground IPA,1.068,13
2050,10.0,Available year round as a staple beer.,"The absolute top quality in the hierarchy of the St. Bernardus beers. It is also the beer with the highest alcohol content (10.50 %).
A dark ivory coloured beer with a high fermentation. 

The show piece of the brewery. Thanks to its soft and unconditionally genuine aroma, the beer can be smoothly tasted.  The Abt has a very fruity flavour.",,22.0,N,Abt 12,1.084,37
