Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Details / Notes
5.0,3.0,Kook n Kap,No,Food and Beverage,Female,,,,,,,,,,,
5.0,4.0,Screen Mend,Yes,Lifestyle / Home,Mixed Team,"$30,000",50%,,,1.0,,,,,,
5.0,4.0,Hamboards Skateboard/Surfboard,Yes,Fitness / Sports,Male,"$300,000",30%,,,,1.0,,,,,
5.0,4.0,R Dubs Sunday Night Slow Jams,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,4.0,Scan. Me App,No,Software / Tech,Male,,,,,,,,,,,
5.0,5.0,Garden Pops,Yes,Food and Beverage,Mixed Team,"$75,000",30%,1.0,1.0,,,,,,,
5.0,5.0,Ruffle Butts - Rugged Butts,Yes,Fashion / Beauty,Mixed Team,"$300,000",9%,,,1.0,,,,,,
5.0,5.0,Bare Ease Bikini Waxing,No,Lifestyle / Home,Female,,,,,,,,,,,
5.0,5.0,Rent A Goat,No,Uncertain / Other,Male,,,,,,,,,,,
5.0,6.0,Total Merchant Resources,Yes,Business Services,Mixed Team,"$200,000",50%,,,,,,1.0,,,
5.0,6.0,Ten Thirty One Haunted Hayrides,Yes,Media / Entertainment,Female,"$2,000,000",20%,,1.0,,,,,,,
5.0,6.0,Fiber Fix Tape,Yes,Lifestyle / Home,Male,"$250,000",12%,,,1.0,,,,,,
5.0,6.0,Elephant Chat,No,Consumer Products,Mixed Team,,,,,,,,,,,
5.0,7.0,180 Party Cup,Yes,Lifestyle / Home,Male,"$300,000",25%,,,,,1.0,,,,
5.0,7.0,Tree T Pee,Yes,Green/CleanTech,Male,"$150,000",20%,,,,,,,,1.0,
5.0,7.0,Better Life Cleaning Products,Yes,Green/CleanTech,Male,"$400,000",17%,,,1.0,,,,,,$400K is loan; equity drops to 7% once loan paid back
5.0,7.0,Kymera Electric Surfboards,No,Fitness / Sports,Male,,,,,,,,,,,
5.0,8.0,Paparazzi Proposals,Yes,Lifestyle / Home,Male,"$250,000",33%,,,1.0,,,1.0,,,$200K as loan
5.0,8.0,Schulzies Bread Pudding,No,Food and Beverage,Female,,,,,,,,,,,
5.0,8.0,BellyBuds,No,Healthcare,Male,,,,,,,,,,,
5.0,8.0,PetPaint,No,Pet Products,Male,,,,,,,,,,,
5.0,9.0,Surprise Ride,No,Children / Education,Female,,,,,,,,,,,
5.0,9.0,Slawsa,No,Food and Beverage,Female,,,,,,,,,,,
5.0,9.0,DoorBot,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,9.0,Magic Moments,No,Software / Tech,Male,,,,,,,,,,,
5.0,10.0,Grace & Lace Knitted Boot Socks,Yes,Fashion / Beauty,Mixed Team,"$175,000",10%,1.0,,,,,,,,half of investment is credit line
5.0,10.0,Yubo Customized Lunch Boxes,Yes,Children / Education,Mixed Team,"$150,000",20%,,,,1.0,,1.0,,,"if they pay it back in 18 months, equity drops to 10%"
5.0,10.0,PurseCase,Yes,Fashion / Beauty,Female,"$55,000",15%,,,,,1.0,,,,
5.0,10.0,Chocomize Chocolate Bars,No,Food and Beverage,Male,,,,,,,,,,,
5.0,11.0,De-Boned Baby Back Rib Steak,Yes,Food and Beverage,Mixed Team,"$300,000",30%,,,,,1.0,,,,
5.0,11.0,SpiritHoods,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
5.0,11.0,FoHawx,No,Fitness / Sports,Female,,,,,,,,,,,
5.0,11.0,Virtuix Omni,No,Software / Tech,Male,,,,,,,,,,,
5.0,12.0,Tipsy Elves,Yes,Fashion / Beauty,Male,"$100,000",10%,,,,1.0,,,,,
5.0,12.0,One Life Products,Yes,Lifestyle / Home,Male,"$50,000",35%,,,,,1.0,,,,
5.0,12.0,Cashmere Hair,No,Fashion / Beauty,Female,,,,,,,,,,,
5.0,12.0,Lite-Netics,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,13.0,GrooveBook,Yes,Software / Tech,Mixed Team,"$150,000",n/a,,1.0,,,,1.0,,,Sold to Shutterfly for $14.5M; deal was for 80% of the licensing rights
5.0,13.0,The Wall DoctoRX,Yes,Lifestyle / Home,Male,"$150,000",0%,,,,1.0,,,,,exclusive rights to sell internationally
5.0,13.0,Bounce Boot Camp,No,Children / Education,Male,,,,,,,,,,,
5.0,13.0,EyeBloc,No,Software / Tech,Male,,,,,,,,,,,
5.0,14.0,LockerBones,Yes,Children / Education,Male,"$175,000",50%,,,1.0,1.0,,,,,
5.0,14.0,InvisiPlug,Yes,Software / Tech,Male,"$125,000",10%,,,1.0,,,,,,"$1 per unit until she makes it back, then 25 cents per unit thereafter"
5.0,14.0,Balloon Distractions,No,Children / Education,Male,,,,,,,,,,,
5.0,14.0,Alaska Glacial Mud Co.,No,Fashion / Beauty,Female,,,,,,,,,,,
5.0,15.0,SwimZip,Yes,Children / Education,Mixed Team,"$60,000",20%,,,1.0,,,,,,
5.0,15.0,Freshly Picked,Yes,Children / Education,Female,"$150,000",25%,,,,,1.0,,,,
5.0,15.0,FitDeck,No,Fitness / Sports,Male,,,,,,,,,,,
5.0,15.0,LifeCaps,No,Healthcare,Male,,,,,,,,,,,
5.0,16.0,The Cookie Dough Cafe,Yes,Food and Beverage,Female,"$100,000",30%,,,1.0,,,,,1.0,
5.0,16.0,Cycloramic,Yes,Software / Tech,Male,"$500,000",15%,,1.0,1.0,,,,,,
5.0,16.0,Nexersys,No,Fitness / Sports,Male,,,,,,,,,,,
5.0,16.0,Cow Wow Cereal Milk,No,Food and Beverage,Male,,,,,,,,,,,
5.0,17.0,Spy Escape and Evasion,Yes,Children / Education,Male,"$150,000",45%,,,,,1.0,,,,
5.0,17.0,Southern Culture Artisan Foods,Yes,Food and Beverage,Female,"$100,000",38%,1.0,,,,,,,,
5.0,17.0,DDP Yoga,No,Fitness / Sports,Male,,,,,,,,,,,
5.0,17.0,Moberi,No,Food and Beverage,Male,,,,,,,,,,,
5.0,18.0,Bambooee,Yes,Lifestyle / Home,Mixed Team,"$200,000",10%,,,1.0,,,,,,
5.0,18.0,Buzzy4Shots,No,Healthcare,Female,,,,,,,,,,,
5.0,18.0,ZipIt,No,Lifestyle / Home,Female,,,,,,,,,,,
5.0,18.0,Cheek'd,No,Software / Tech,Female,,,,,,,,,,,
5.0,19.0,U-Lace,Yes,Fashion / Beauty,Male,"$200,000",35%,,1.0,,,,,,,
5.0,19.0,RevoLights,Yes,Fitness / Sports,Male,"$300,000",10%,,,,1.0,,,,,
5.0,19.0,Squeeky Knees,No,Children / Education,Mixed Team,,,,,,,,,,,
5.0,19.0,The Buffer Bit,No,Fashion / Beauty,Male,,,,,,,,,,,
5.0,20.0,Henry's Humdingers,Yes,Food and Beverage,Male,"$300,000",75%,,1.0,,1.0,,,,,
5.0,20.0,Boo Boo Goo,Yes,Healthcare,Mixed Team,"$100,000",25%,,,,,,1.0,,,
5.0,20.0,Iretron,Yes,Software / Tech,Male,"$100,000",20%,1.0,1.0,,,,,,,
5.0,20.0,Define Bottle,No,Food and Beverage,Male,,,,,,,,,,,
5.0,21.0,Packback Books,No,Children / Education,Mixed Team,,,,,,,,,,,
5.0,21.0,Chapul,Yes,Food and Beverage,Male,"$50,000",15%,,1.0,,,,,,,
5.0,21.0,Garage Door Lock,Yes,Lifestyle / Home,Male,"$275,000",35%,,,,,1.0,,,,
5.0,21.0,MorningHead,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,22.0,Plated,Yes,Food and Beverage,Male,"$500,000",6%,,1.0,,,,,,,
5.0,22.0,Monkey Mat,Yes,Lifestyle / Home,Mixed Team,"$100,000",35%,,1.0,1.0,,,,,,
5.0,22.0,The Paint Brush Cover,Yes,Lifestyle / Home,Male,"$100,000",20%,,,1.0,,,,,,
5.0,22.0,Kodiak Cakes,No,Food and Beverage,Mixed Team,,,,,,,,,,,
5.0,23.0,Velocity Signs,Yes,Business Services,Male,"$225,000",30%,,1.0,,1.0,,1.0,,,
5.0,23.0,Happy Feet,Yes,Fashion / Beauty,Male,"$375,000",25%,,,,,,,,,
5.0,23.0,Hold Your Haunches,Yes,Fashion / Beauty,Female,"$100,000",40%,1.0,,1.0,,,,,,
5.0,23.0,Lord Nut Levington,No,Food and Beverage,Male,,,,,,,,,,,
5.0,24.0,Fun Time Express,Yes,Children / Education,Male,"$125,000",20%,,,1.0,,,1.0,,,
5.0,24.0,PowerPot,Yes,Food and Beverage,Male,"$250,000",12%,,1.0,,,,,,,
5.0,24.0,Quickstop Fire Sprinkler Tools,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,24.0,Taylor Robinson Music,No,Software / Tech,Male,,,,,,,,,,,
5.0,25.0,ZooBean,Yes,Children / Education,Mixed Team,"$250,000",30%,,1.0,,,,,,,
5.0,25.0,iLumi,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,25.0,Fort Magic,No,Children / Education,Female,,,,,,,,,,,
5.0,25.0,Intelli-Stopper Technology,No,Food and Beverage,Male,,,,,,,,,,,
5.0,26.0,Rugged Maniac,Yes,Fitness / Sports,Male,"$1,750,000",25%,,1.0,,,,,,,
5.0,26.0,Cerebral Success,Yes,Healthcare,Male,"$75,000",40%,1.0,,,,,,,,
5.0,26.0,Mo's Bows,No,Fashion / Beauty,Male,,,,,,,,,,,
5.0,26.0,Crio,No,Food and Beverage,Male,,,,,,,,,,,
5.0,27.0,Angellift,Yes,Fashion / Beauty,Male,"$500,000",15%,,,1.0,,,,,,
5.0,27.0,HangEase,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,27.0,The Bouqs Company,No,Lifestyle / Home,Male,,,,,,,,,,,
5.0,27.0,Susty Party,No,Lifestyle / Home,Female,,,,,,,,,,,
5.0,28.0,Oru Kayak,Yes,Fitness / Sports,Male,"$500,000",25%,,,,1.0,,,,,
5.0,28.0,Bon Affair,Yes,Food and Beverage,Female,"$150,000",35%,,1.0,,,,,,,
5.0,28.0,Cinnaholic,No,Food and Beverage,Mixed Team,,,,,,,,,,,
5.0,28.0,Hargitt Marine Services,No,Uncertain / Other,Male,,,,,,,,,,,
5.0,29.0,Foot Fairy,Yes,Software / Tech,Female,"$100,000",40%,,1.0,,,,,,,
5.0,29.0,BZbox,Yes,Lifestyle / Home,Female,"$50,000",40%,,,1.0,,,,,,
5.0,29.0,Tie-Not,No,Children / Education,Male,,,,,,,,,,,
5.0,29.0,Baker's Edge,No,Food and Beverage,Mixed Team,,,,,,,,,,,
6.0,1.0,Sleeping Baby,Yes,Children / Education,Mixed Team,"$200,000",20%,,,,,1.0,,,,
6.0,1.0,Bombas,Yes,Fashion / Beauty,Male,"$200,000",18%,,,,,1.0,,,,
6.0,1.0,Hammer & Nails,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,1.0,Amber,No,Software / Tech,Male,,,,,,,,,,,
6.0,2.0,Kronos,Yes,Fitness / Sports,Male,"$150,000",30%,,,,1.0,,,,,
6.0,2.0,Roominate,Yes,Children / Education,Female,"$500,000",5%,,1.0,1.0,,,,,,
6.0,2.0,The Floating Mug Co.,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,2.0,Wedding Wagon,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,3.0,Heart Pup,Yes,Pet Products,Female,"$50,000",40%,,,,,1.0,,,,
6.0,3.0,SoapSox,No,Children / Education,Male,,,,,,,,,,,
6.0,3.0,Ninja Cards,No,Children / Education,Male,,,,,,,,,,,
6.0,3.0,DrumPants,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
6.0,4.0,Paper Box Pilots,Yes,Children / Education,Male,"$35,000",50%,,,,1.0,,,,,
6.0,4.0,Reviver,Yes,Lifestyle / Home,Male,"$150,000",15%,,,1.0,,,,,,
6.0,4.0,FunCakes Rental,No,Food and Beverage,Female,,,,,,,,,,,
6.0,4.0,Table Jacks,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,5.0,The Red Dress Boutique,Yes,Fashion / Beauty,Mixed Team,"$1,200,000",20%,,1.0,,1.0,,,,,
6.0,5.0,SunStaches,Yes,Fashion / Beauty,Male,"$300,000",20%,,,,,1.0,,,,
6.0,5.0,Jungle JumpaRoo,No,Children / Education,Mixed Team,,,,,,,,,,,
6.0,5.0,The Caddy Girls,No,Fitness / Sports,Female,,,,,,,,,,,
6.0,6.0,Honeyfund,Yes,Software / Tech,Mixed Team,"$400,000",n/a,,,,,,1.0,,,three times return from the transaction revenue
6.0,6.0,BeatBox Beverages,Yes,Food and Beverage,Mixed Team,"$1,000,000",33%,,1.0,,,,,,,
6.0,6.0,Oilerie USA,No,Food and Beverage,Male,,,,,,,,,,,
6.0,6.0,EmergenSee,No,Software / Tech,Male,,,,,,,,,,,
6.0,7.0,Myself Belts,Yes,Children / Education,Female,"$75,000",25%,,,,,1.0,,,,
6.0,7.0,Titin,Yes,Fitness / Sports,Male,"$500,000",20%,,,,,1.0,,,,
6.0,7.0,SingTrix,No,Children / Education,Male,,,,,,,,,,,
6.0,7.0,Beardbrand,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,8.0,The Natural Grip,Yes,Fitness / Sports,Female,"$125,000",25%,,,,1.0,,,,,
6.0,8.0,Bottle Breacher,Yes,Food and Beverage,Male,"$150,000",20%,,1.0,,,,1.0,,,
6.0,8.0,Man-Pack,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,8.0,Priority One Canine,No,Pet Products,Mixed Team,,,,,,,,,,,
6.0,9.0,Heidi Ho,Yes,Food and Beverage,Female,"$125,000",30%,,,1.0,,,,,,
6.0,9.0,Squatty Potty,Yes,Lifestyle / Home,Mixed Team,"$350,000",10%,,,1.0,,,,,,
6.0,9.0,Pipsnacks,Yes,Food and Beverage,Mixed Team,"$200,000",10%,1.0,,,,,,,,plus a 10% draw whenever founders take cash out until she recoups her investment
6.0,9.0,Storm Stoppers,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,10.0,MagicCook,Yes,Food and Beverage,Female,"$100,000",33%,,,,,1.0,,,,
6.0,10.0,Earth Log,Yes,Lifestyle / Home,Male,"$160,000",30%,,,1.0,,,,,,
6.0,10.0,Kitchen Safe,Yes,Food and Beverage,Male,"$100,000",20%,,,1.0,,,,,1.0,
6.0,10.0,Off the Cob,No,Food and Beverage,Male,,,,,,,,,,,
6.0,11.0,Biaggi,Yes,Lifestyle / Home,Male,"$500,000",33%,,,1.0,,,,,,
6.0,11.0,Gameday Couture,Yes,Fashion / Beauty,Mixed Team,"$500,000",30%,,1.0,,,,,,,
6.0,11.0,Zipz,Yes,Food and Beverage,Male,"$2,500,000",10%,,,,,,1.0,,,with an option for another $2.5 Million for an additional 10%
6.0,11.0,Soaps Washes and Grooming Essentials (aka S.W.A.G. Essentials),No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,12.0,Hoppy Paws,Yes,Lifestyle / Home,Female,"$100,000",49%,1.0,,,,,,,,
6.0,12.0,Q-Flex,Yes,Healthcare,Female,"$25,000",25%,1.0,1.0,,,,,,,
6.0,12.0,The Mensch on a Bench,Yes,Lifestyle / Home,Male,"$150,000",15%,,,1.0,1.0,,,,,
6.0,12.0,Eve Drop,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,13.0,Bantam Bagels,Yes,Food and Beverage,Mixed Team,"$275,000",25%,,,1.0,,,,,,
6.0,13.0,Doorman,Yes,Lifestyle / Home,Male,"$250,000",12%,,,,1.0,,,,,
6.0,13.0,SkinnyShirt,No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,13.0,Coffee Meets Bagel,No,Software / Tech,Female,,,,,,,,,,,
6.0,14.0,Evrewares,Yes,Fashion / Beauty,Female,"$200,000",100%,,1.0,,,,,,,
6.0,14.0,Bottle Bright,Yes,Lifestyle / Home,Male,"$75,000",33%,,,1.0,,,,,,
6.0,14.0,Scratch & Grain Baking Co,Yes,Food and Beverage,Female,"$150,000",20%,1.0,,,,,,,,Done as a line of credit
6.0,14.0,Vestpakz,No,Children / Education,Male,,,,,,,,,,,
6.0,15.0,TurboPUP,Yes,Pet Products,Mixed Team,"$100,000",35%,,,,,1.0,,,,
6.0,15.0,Lumio,Yes,Lifestyle / Home,Male,"$350,000",10%,,,,1.0,,,,,
6.0,15.0,Bello Verde,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,15.0,Napwell,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,16.0,GreenBox,Yes,Food and Beverage,Mixed Team,"$300,000",10%,,,,,,1.0,,,
6.0,16.0,Phonesoap,Yes,Software / Tech,Male,"$300,000",10%,,,1.0,,,,,,
6.0,16.0,Victoria's Kitchen,No,Food and Beverage,Mixed Team,,,,,,,,,,,
6.0,16.0,Tycoon Real Estate,No,Software / Tech,Mixed Team,,,,,,,,,,,
6.0,17.0,Fresh Patch,Yes,Pet Products,Mixed Team,"$150,000",20%,1.0,1.0,,,,,,,
6.0,17.0,Drain Strain,Yes,Lifestyle / Home,Male,"$110,000",10%,,,,1.0,,,,,
6.0,17.0,Balm Chicky Balm Balm,No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,17.0,BedJet,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,18.0,BeverageBoy,Yes,Food and Beverage,Male,"$50,000",35%,,,,,1.0,,,,
6.0,18.0,FunBites,Yes,Children / Education,Female,"$75,000",25%,,,1.0,,,,,,
6.0,18.0,The Lip Bar,No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,18.0,Himalayan Dog Chew,No,Pet Products,Male,,,,,,,,,,,
6.0,19.0,Boobypack,Yes,Fashion / Beauty,Female,"$80,000",25%,1.0,,,,,,,,
6.0,19.0,Gold Rush Nugget Bucket,Yes,Children / Education,Male,"$60,000",25%,,,,1.0,,,,,
6.0,19.0,Sseko Designs,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
6.0,19.0,Lumi,No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,20.0,LuminAid,Yes,Consumer Products,Female,"$300,000",15%,,1.0,,,,,,,
6.0,20.0,Scholly,Yes,Children / Education,Male,"$40,000",15%,,,,,,,,,
6.0,20.0,Keen Home,Yes,Lifestyle / Home,Male,"$750,000",13%,,,,1.0,,,,,
6.0,20.0,Taaluma,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
6.0,21.0,Coco Jack,Yes,Food and Beverage,Male,"$125,000",25%,,1.0,,,,,,,125k in convertible debt for 25% of the company with 7% interest
6.0,21.0,BedRyder,No,Consumer Products,Male,,,,,,,,,,,
6.0,21.0,Frill,Yes,Fashion / Beauty,Female,"$100,000",20%,1.0,,,,,1.0,,,
6.0,21.0,Twin Z Pillow,Yes,Children / Education,Mixed Team,"$75,000",20%,,,1.0,,,,,,
6.0,22.0,Echo Valley Meats,Yes,Food and Beverage,Male,"$150,000",25%,,1.0,,,,,,,
6.0,22.0,Emazing Lights,Yes,Media / Entertainment,Male,"$650,000",5%,,1.0,,,1.0,,,,plus 20% commission on any license deals they bring
6.0,22.0,acqua vault,Yes,Lifestyle / Home,Male,"$75,000",25%,,,,,1.0,,,,
6.0,22.0,Naja,No,Fashion / Beauty,Female,,,,,,,,,,,
6.0,23.0,Bee Sweet Lemonade,Yes,Food and Beverage,Mixed Team,"$60,000",25%,,,,,1.0,,,,
6.0,23.0,Brand Yourself,No,Software / Tech,Male,,,,,,,,,,,
6.0,23.0,iC Pooch,No,Pet Products,Mixed Team,,,,,,,,,,,
6.0,23.0,The Home T,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,24.0,Budsies,No,Children / Education,Male,,,,,,,,,,,
6.0,24.0,bee thinking,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,24.0,PullyPalz,Yes,Children / Education,Female,"$100,000",28%,,,1.0,,,,,,
6.0,24.0,Forus,No,Fitness / Sports,Male,,,,,,,,,,,
6.0,25.0,NeatCheeks,Yes,Children / Education,Female,"$150,000",25%,1.0,,,,,,,,
6.0,25.0,Melni,Yes,Uncertain / Other,Male,"$500,000",12%,,1.0,,,,,,,
6.0,25.0,Beneath the Ink,No,Software / Tech,Mixed Team,,,,,,,,,,,
6.0,25.0,PittMoss,Yes,Green/CleanTech,Male,"$600,000",35%,,1.0,,1.0,,1.0,,,
6.0,26.0,ZinePak,Yes,Media / Entertainment,Female,"$725,000",18%,,,1.0,1.0,,,,,
6.0,26.0,snagastool,No,Software / Tech,Male,,,,,,,,,,,
6.0,26.0,Buck Mason,No,Fashion / Beauty,Male,,,,,,,,,,,Declined Robert's offer
6.0,26.0,Noene,Yes,Fashion / Beauty,Male,"$200,000",30%,,1.0,,,1.0,,,,
6.0,27.0,AirCar,Yes,Green/CleanTech,Male,"$5,000,000",50%,,,,1.0,,,,,Contingent on getting deal to bring to continental US
6.0,27.0,Paleo Diet Foods,No,Food and Beverage,Female,,,,,,,,,,,
6.0,27.0,World Record Striper Company,Yes,Fitness / Sports,Male,"$50,000",33%,,1.0,,,,,,,
6.0,27.0,Frameri,No,Fashion / Beauty,Male,,,,,,,,,,,
6.0,28.0,Zoom,Yes,Lifestyle / Home,Female,"$100,000",33%,1.0,,,,,,,,
6.0,28.0,Sunscreen Mist,No,Lifestyle / Home,Male,,,,,,,,,,,
6.0,28.0,SynDaver Labs,Yes,Healthcare,Male,"$3,000,000",25%,,,,1.0,,,,,
6.0,28.0,You Kick Ass,Yes,Children / Education,Female,"$100,000",10%,,1.0,,,,,,,
6.0,29.0,Shark Wheel,Yes,Fitness / Sports,Male,"$225,000",8%,,1.0,,1.0,,,,1.0,10% royalty until $500K; then converts to 5% equity
6.0,29.0,Gato Cafe,No,Uncertain / Other,Female,,,,,,,,,,,
6.0,29.0,Sway Motorsports,Yes,Green/CleanTech,Male,"$300,000",20%,,1.0,,,,,,,
6.0,29.0,Spikeball,Yes,Fitness / Sports,Male,"$500,000",20%,,,,,1.0,,,,
